# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	10677	11525	+	WP_071905693.1	WP_071905693.1		tetratricopeptide repeat protein		30410879	MCBB_RS00065	849	282	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	11673	12458	+						30410880	MCBB_RS00070	786		old_locus_tag=MCBB_0015
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	11673	12458	+	WP_071905694.1	WP_071905694.1		tetratricopeptide repeat protein		30410880	MCBB_RS00070	786	261	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	12872	13342	+						30410881	MCBB_RS00075	471		old_locus_tag=MCBB_0016
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	12872	13342	+	WP_071905695.1	WP_071905695.1		hypothetical protein		30410881	MCBB_RS00075	471	156	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	13421	14248	-						30410882	MCBB_RS00080	828		old_locus_tag=MCBB_0017
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	13421	14248	-	WP_231916372.1	WP_231916372.1		YbjQ family protein		30410882	MCBB_RS00080	828	275	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	14277	14603	-						30410883	MCBB_RS00085	327		old_locus_tag=MCBB_0018
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	14277	14603	-	WP_071905696.1	WP_071905696.1		YbjQ family protein		30410883	MCBB_RS00085	327	108	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	14883	15608	-						30410884	MCBB_RS00090	726		old_locus_tag=MCBB_0019
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	14883	15608	-	WP_071905697.1	WP_071905697.1		methyltransferase domain-containing protein		30410884	MCBB_RS00090	726	241	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	15952	16650	-						30410885	MCBB_RS00095	699		old_locus_tag=MCBB_0020
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	15952	16650	-	WP_197668941.1	WP_197668941.1		nucleotidyltransferase domain-containing protein		30410885	MCBB_RS00095	699	232	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	16968	18188	-						30410886	MCBB_RS00100	1221		old_locus_tag=MCBB_0021
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	16968	18188	-	WP_071905698.1	WP_071905698.1		bifunctional 5,6,7,8-tetrahydromethanopterin hydro-lyase/3-hexulose-6-phosphate synthase		30410886	MCBB_RS00100	1221	406	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	18364	19656	-						30410887	MCBB_RS00105	1293		old_locus_tag=MCBB_0022
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	18364	19656	-	WP_071905699.1	WP_071905699.1		TrpB-like pyridoxal phosphate-dependent enzyme		30410887	MCBB_RS00105	1293	430	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	19968	20993	+						30410888	MCBB_RS00110	1026		old_locus_tag=MCBB_0023
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	19968	20993	+	WP_071905700.1	WP_071905700.1		DUF1786 domain-containing protein		30410888	MCBB_RS00110	1026	341	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	21194	21841	+						30410889	MCBB_RS00115	648		old_locus_tag=MCBB_0024
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	21194	21841	+	WP_071905701.1	WP_071905701.1		PHP domain-containing protein		30410889	MCBB_RS00115	648	215	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	21926	22711	+						30410890	MCBB_RS00120	786		old_locus_tag=MCBB_0025
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	21926	22711	+	WP_071905702.1	WP_071905702.1		DUF63 family protein		30410890	MCBB_RS00120	786	261	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	22779	24296	+						30410891	MCBB_RS00125	1518		old_locus_tag=MCBB_0026
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	22779	24296	+	WP_071905703.1	WP_071905703.1		2-isopropylmalate synthase		30410891	MCBB_RS00125	1518	505	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	24372	25118	+						30410892	MCBB_RS00130	747		old_locus_tag=MCBB_0027
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	24372	25118	+	WP_145975974.1	WP_145975974.1		response regulator		30410892	MCBB_RS00130	747	248	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	25437	25712	+					albA	30410893	MCBB_RS00135	276		old_locus_tag=MCBB_0028
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	25437	25712	+	WP_071905705.1	WP_071905705.1		DNA-binding protein Alba	albA	30410893	MCBB_RS00135	276	91	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	26078	27316	-						30410894	MCBB_RS00140	1239		old_locus_tag=MCBB_0029
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	26078	27316	-	WP_071905706.1	WP_071905706.1		PQQ-binding-like beta-propeller repeat protein		30410894	MCBB_RS00140	1239	412	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	27443	28615	-						30410895	MCBB_RS00145	1173		old_locus_tag=MCBB_0030
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	27443	28615	-	WP_071907933.1	WP_071907933.1		ABC transporter permease		30410895	MCBB_RS00145	1173	390	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	28635	29708	-						30410896	MCBB_RS00150	1074		old_locus_tag=MCBB_0031
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	28635	29708	-	WP_071905707.1	WP_071905707.1		ATP-binding cassette domain-containing protein		30410896	MCBB_RS00150	1074	357	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	29711	30139	-						30410897	MCBB_RS00155	429		old_locus_tag=MCBB_0032
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	29711	30139	-	WP_231916373.1	WP_231916373.1		PadR family transcriptional regulator		30410897	MCBB_RS00155	429	142	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	30636	30905	-						30410898	MCBB_RS00160	270		old_locus_tag=MCBB_0033
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	30636	30905	-	WP_071905708.1	WP_071905708.1		hypothetical protein		30410898	MCBB_RS00160	270	89	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	31162	31914	+						30410899	MCBB_RS00165	753		old_locus_tag=MCBB_0034
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	31162	31914	+	WP_071905709.1	WP_071905709.1		sugar phosphate isomerase/epimerase		30410899	MCBB_RS00165	753	250	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	32003	33109	+						30410900	MCBB_RS00170	1107		old_locus_tag=MCBB_0035
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	32003	33109	+	WP_071905710.1	WP_071905710.1		DUF362 domain-containing protein		30410900	MCBB_RS00170	1107	368	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	33382	34170	-						30410901	MCBB_RS00175	789		old_locus_tag=MCBB_0036
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	33382	34170	-	WP_071905711.1	WP_071905711.1		HAD family hydrolase		30410901	MCBB_RS00175	789	262	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	34534	35061	+						30410902	MCBB_RS00180	528		old_locus_tag=MCBB_0037
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	34534	35061	+	WP_071905712.1	WP_071905712.1		hypothetical protein		30410902	MCBB_RS00180	528	175	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	35148	35780	-						30410903	MCBB_RS00185	633		old_locus_tag=MCBB_0038
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	35148	35780	-	WP_071905713.1	WP_071905713.1		LysE family transporter		30410903	MCBB_RS00185	633	210	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	35990	36166	-						55571374	MCBB_RS12000	177		old_locus_tag=MCBB_0039
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	35990	36166	-	WP_171899048.1	WP_171899048.1		hypothetical protein		55571374	MCBB_RS12000	177	58	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	36219	37211	-					ala	30410904	MCBB_RS00190	993		old_locus_tag=MCBB_0040
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	36219	37211	-	WP_071905714.1	WP_071905714.1		alanine dehydrogenase	ala	30410904	MCBB_RS00190	993	330	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	37429	38064	+						30410905	MCBB_RS00195	636		old_locus_tag=MCBB_0041
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	37429	38064	+	WP_071905715.1	WP_071905715.1		VTT domain-containing protein		30410905	MCBB_RS00195	636	211	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	38126	38890	+						30410906	MCBB_RS00200	765		old_locus_tag=MCBB_0042
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	38126	38890	+	WP_071905716.1	WP_071905716.1		DUF1624 domain-containing protein		30410906	MCBB_RS00200	765	254	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	39065	39883	+						30410907	MCBB_RS00205	819		old_locus_tag=MCBB_0043
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	39065	39883	+	WP_071905717.1	WP_071905717.1		DUF4013 domain-containing protein		30410907	MCBB_RS00205	819	272	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	39974	40225	-						69055621	MCBB_RS12215	252		
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	39974	40225	-	WP_231916448.1	WP_231916448.1		hypothetical protein		69055621	MCBB_RS12215	252	83	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	40167	40538	+						69055622	MCBB_RS12220	372		
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	40167	40538	+	WP_231916441.1	WP_231916441.1		DUF4013 domain-containing protein		69055622	MCBB_RS12220	372	123	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	40689	41171	+						30410909	MCBB_RS00215	483		old_locus_tag=MCBB_0045
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	40689	41171	+	WP_071905719.1	WP_071905719.1		hypothetical protein		30410909	MCBB_RS00215	483	160	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	41260	41400	+						55571375	MCBB_RS12005	141		old_locus_tag=MCBB_0046
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	41260	41400	+	WP_171899050.1	WP_171899050.1		hypothetical protein		55571375	MCBB_RS12005	141	46	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	41557	42057	+						30410910	MCBB_RS00220	501		old_locus_tag=MCBB_0047
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	41557	42057	+	WP_071905720.1	WP_071905720.1		hypothetical protein		30410910	MCBB_RS00220	501	166	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	42268	43656	+					gatA	30410911	MCBB_RS00225	1389		old_locus_tag=MCBB_0048
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	42268	43656	+	WP_071905721.1	WP_071905721.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	gatA	30410911	MCBB_RS00225	1389	462	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	43979	45469	+						30410912	MCBB_RS00230	1491		old_locus_tag=MCBB_0049
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	43979	45469	+	WP_071905722.1	WP_071905722.1		AAA family ATPase		30410912	MCBB_RS00230	1491	496	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	45584	46279	-					ribB	30410913	MCBB_RS00235	696		old_locus_tag=MCBB_0050
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	45584	46279	-	WP_071905723.1	WP_071905723.1		3,4-dihydroxy-2-butanone-4-phosphate synthase	ribB	30410913	MCBB_RS00235	696	231	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	46470	46847	-						30410914	MCBB_RS00240	378		old_locus_tag=MCBB_0051
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	46470	46847	-	WP_071905724.1	WP_071905724.1		DUF120 domain-containing protein		30410914	MCBB_RS00240	378	125	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	47273	48871	-					sepS	30410915	MCBB_RS00245	1599		old_locus_tag=MCBB_0052
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	47273	48871	-	WP_071905725.1	WP_071905725.1		O-phosphoserine--tRNA ligase	sepS	30410915	MCBB_RS00245	1599	532	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	49093	50766	+						30410916	MCBB_RS00250	1674		old_locus_tag=MCBB_0053
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	49093	50766	+	WP_071905726.1	WP_071905726.1		fumarate reductase subunit A		30410916	MCBB_RS00250	1674	557	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	50958	51992	+						30410917	MCBB_RS00255	1035		old_locus_tag=MCBB_0054
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	50958	51992	+	WP_071905727.1	WP_071905727.1		NAD(P)/FAD-dependent oxidoreductase		30410917	MCBB_RS00255	1035	344	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	52189	52671	+						30410918	MCBB_RS00260	483		old_locus_tag=MCBB_0055
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	52189	52671	+	WP_231916374.1	WP_231916374.1		DUF1697 domain-containing protein		30410918	MCBB_RS00260	483	160	
gene	tRNA	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	52759	52830	-						30410919	MCBB_RS00265	72		old_locus_tag=MCBB_0056
tRNA		GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	52759	52830	-				tRNA-Arg		30410919	MCBB_RS00265	72		anticodon=GCG
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	52993	53457	-						30410920	MCBB_RS00270	465		old_locus_tag=MCBB_0057
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	52993	53457	-	WP_071905729.1	WP_071905729.1		HIT family protein		30410920	MCBB_RS00270	465	154	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	53506	54171	-						30410921	MCBB_RS00275	666		old_locus_tag=MCBB_0058
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	53506	54171	-	WP_231916375.1	WP_231916375.1		PAP2 family protein		30410921	MCBB_RS00275	666	221	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	54336	54773	-						30410922	MCBB_RS00280	438		old_locus_tag=MCBB_0059
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	54336	54773	-	WP_071905731.1	WP_071905731.1		hypothetical protein		30410922	MCBB_RS00280	438	145	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	54940	56301	-						30410923	MCBB_RS00285	1362		old_locus_tag=MCBB_0060
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	54940	56301	-	WP_071905732.1	WP_071905732.1		AIR synthase related protein		30410923	MCBB_RS00285	1362	453	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	56581	57189	-					hisH	30410924	MCBB_RS00290	609		old_locus_tag=MCBB_0061
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	56581	57189	-	WP_071905733.1	WP_071905733.1		imidazole glycerol phosphate synthase subunit HisH	hisH	30410924	MCBB_RS00290	609	202	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	57290	58297	-						30410925	MCBB_RS00295	1008		old_locus_tag=MCBB_0062
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	57290	58297	-	WP_071905734.1	WP_071905734.1		NTP transferase domain-containing protein		30410925	MCBB_RS00295	1008	335	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	58549	59622	-					cfbD	30410926	MCBB_RS00300	1074		old_locus_tag=MCBB_0063
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	58549	59622	-	WP_071905735.1	WP_071905735.1		Ni-sirohydrochlorin a,c-diamide reductive cyclase catalytic subunit	cfbD	30410926	MCBB_RS00300	1074	357	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	59983	60735	+						30410927	MCBB_RS00305	753		old_locus_tag=MCBB_0064
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	59983	60735	+	WP_071905736.1	WP_071905736.1		hypothetical protein		30410927	MCBB_RS00305	753	250	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	60914	61711	+					sfsA	30410928	MCBB_RS00310	798		old_locus_tag=MCBB_0065
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	60914	61711	+	WP_071905737.1	WP_071905737.1		DNA/RNA nuclease SfsA	sfsA	30410928	MCBB_RS00310	798	265	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	61896	62912	-						30410929	MCBB_RS00315	1017		old_locus_tag=MCBB_0066
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	61896	62912	-	WP_071905738.1	WP_071905738.1		potassium channel protein		30410929	MCBB_RS00315	1017	338	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	62929	63216	-						30410930	MCBB_RS00320	288		old_locus_tag=MCBB_0067
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	62929	63216	-	WP_145975976.1	WP_145975976.1		hypothetical protein		30410930	MCBB_RS00320	288	95	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	63744	66542	+						32220235	MCBB_RS11835	2799		old_locus_tag=MCBB_0068
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	63744	66542	+	WP_084789721.1	WP_084789721.1		PAS domain S-box protein		32220235	MCBB_RS11835	2799	932	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	66878	69679	-						30410935	MCBB_RS00345	2802		old_locus_tag=MCBB_0069
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	66878	69679	-	WP_071905740.1	WP_071905740.1		cation-transporting P-type ATPase		30410935	MCBB_RS00345	2802	933	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	69854	71239	+						30410936	MCBB_RS00350	1386		old_locus_tag=MCBB_0070
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	69854	71239	+	WP_071905741.1	WP_071905741.1		NAD(P)/FAD-dependent oxidoreductase		30410936	MCBB_RS00350	1386	461	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	71386	72573	-						30410937	MCBB_RS00355	1188		old_locus_tag=MCBB_0071
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	71386	72573	-	WP_071905742.1	WP_071905742.1		redox-regulated ATPase YchF		30410937	MCBB_RS00355	1188	395	
gene	protein_coding	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	72730	73362	+					cbiE	30410938	MCBB_RS00360	633		old_locus_tag=MCBB_0072
CDS	with_protein	GCF_900095295.1	Primary Assembly	chromosome	I	NZ_LT607756.1	72730	73362	+	WP_071905743.1	WP_071905743.1		precorrin-6y C5,15-methyltransferase (decarboxylating) subunit CbiE	cbiE	30410938	MCBB_RS00360	633	210	
