# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	11424	11630	-						24879760	MSWAN_RS00055	207		
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	11424	11630	-	WP_048187766.1	WP_048187766.1		hypothetical protein		24879760	MSWAN_RS00055	207	68	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	11863	13860	+						10667487	MSWAN_RS00060	1998		old_locus_tag=MSWAN_0011
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	11863	13860	+	WP_227716970.1	WP_227716970.1		FUSC family protein		10667487	MSWAN_RS00060	1998	665	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	13980	14789	-						10667488	MSWAN_RS00065	810		old_locus_tag=MSWAN_0012
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	13980	14789	-	WP_013824562.1	WP_013824562.1		ion transport 2 domain-containing protein		10667488	MSWAN_RS00065	810	269	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	14858	15433	-					hisB	10667489	MSWAN_RS00070	576		old_locus_tag=MSWAN_0013
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	14858	15433	-	WP_173361653.1	WP_173361653.1		imidazoleglycerol-phosphate dehydratase HisB	hisB	10667489	MSWAN_RS00070	576	191	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	15411	15623	-						10667490	MSWAN_RS00075	213		old_locus_tag=MSWAN_0014
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	15411	15623	-	WP_013824564.1	WP_013824564.1		ferredoxin family protein		10667490	MSWAN_RS00075	213	70	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	15787	16482	-						10667491	MSWAN_RS00080	696		old_locus_tag=MSWAN_0015
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	15787	16482	-	WP_013824565.1	WP_013824565.1		TOBE domain-containing protein		10667491	MSWAN_RS00080	696	231	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	16760	17350	-						10667492	MSWAN_RS00085	591		old_locus_tag=MSWAN_0016
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	16760	17350	-	WP_013824566.1	WP_013824566.1		flavodoxin family protein		10667492	MSWAN_RS00085	591	196	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	17597	18817	-						10667493	MSWAN_RS00090	1221		old_locus_tag=MSWAN_0017
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	17597	18817	-	WP_013824567.1	WP_013824567.1		bifunctional 5,6,7,8-tetrahydromethanopterin hydro-lyase/3-hexulose-6-phosphate synthase		10667493	MSWAN_RS00090	1221	406	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	19068	20360	-						10667494	MSWAN_RS00095	1293		old_locus_tag=MSWAN_0018
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	19068	20360	-	WP_013824568.1	WP_013824568.1		TrpB-like pyridoxal phosphate-dependent enzyme		10667494	MSWAN_RS00095	1293	430	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	20682	21710	+						10667495	MSWAN_RS00100	1029		old_locus_tag=MSWAN_0019
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	20682	21710	+	WP_013824569.1	WP_013824569.1		DUF1786 domain-containing protein		10667495	MSWAN_RS00100	1029	342	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	21779	22426	+						10667496	MSWAN_RS00105	648		old_locus_tag=MSWAN_0020
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	21779	22426	+	WP_013824570.1	WP_013824570.1		PHP domain-containing protein		10667496	MSWAN_RS00105	648	215	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	22893	23687	+						10667497	MSWAN_RS00110	795		old_locus_tag=MSWAN_0021
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	22893	23687	+	WP_013824571.1	WP_013824571.1		DUF63 family protein		10667497	MSWAN_RS00110	795	264	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	23771	25288	+						10667498	MSWAN_RS00115	1518		old_locus_tag=MSWAN_0022
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	23771	25288	+	WP_013824572.1	WP_013824572.1		2-isopropylmalate synthase		10667498	MSWAN_RS00115	1518	505	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	25376	26140	+						10667499	MSWAN_RS00120	765		old_locus_tag=MSWAN_0023
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	25376	26140	+	WP_013824573.1	WP_013824573.1		response regulator		10667499	MSWAN_RS00120	765	254	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	26451	27644	+						10667500	MSWAN_RS00125	1194		old_locus_tag=MSWAN_0024
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	26451	27644	+	WP_013824574.1	WP_013824574.1		nitrogenase component 1		10667500	MSWAN_RS00125	1194	397	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	27834	28109	+					albA	10667501	MSWAN_RS00130	276		old_locus_tag=MSWAN_0025
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	27834	28109	+	WP_013824575.1	WP_013824575.1		DNA-binding protein Alba	albA	10667501	MSWAN_RS00130	276	91	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	28553	29791	-						10667502	MSWAN_RS00135	1239		old_locus_tag=MSWAN_0026
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	28553	29791	-	WP_013824576.1	WP_013824576.1		PQQ-binding-like beta-propeller repeat protein		10667502	MSWAN_RS00135	1239	412	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	29924	31099	-						10667503	MSWAN_RS00140	1176		old_locus_tag=MSWAN_0027
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	29924	31099	-	WP_013824577.1	WP_013824577.1		ABC transporter permease		10667503	MSWAN_RS00140	1176	391	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	31089	32165	-						10667504	MSWAN_RS00145	1077		old_locus_tag=MSWAN_0028
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	31089	32165	-	WP_048188137.1	WP_048188137.1		ATP-binding cassette domain-containing protein		10667504	MSWAN_RS00145	1077	358	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	32180	32656	-						10667505	MSWAN_RS00150	477		old_locus_tag=MSWAN_0029
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	32180	32656	-	WP_013824579.1	WP_013824579.1		PadR family transcriptional regulator		10667505	MSWAN_RS00150	477	158	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	33313	33582	-						10667506	MSWAN_RS00155	270		old_locus_tag=MSWAN_0030
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	33313	33582	-	WP_013824580.1	WP_013824580.1		hypothetical protein		10667506	MSWAN_RS00155	270	89	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	33929	34597	+						10667507	MSWAN_RS00160	669		old_locus_tag=MSWAN_0031
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	33929	34597	+	WP_227716971.1	WP_227716971.1		sugar phosphate isomerase/epimerase		10667507	MSWAN_RS00160	669	222	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	34682	35791	+						10667508	MSWAN_RS00165	1110		old_locus_tag=MSWAN_0032
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	34682	35791	+	WP_013824582.1	WP_013824582.1		DUF362 domain-containing protein		10667508	MSWAN_RS00165	1110	369	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	36258	37046	-						10667509	MSWAN_RS00170	789		old_locus_tag=MSWAN_0033
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	36258	37046	-	WP_013824583.1	WP_013824583.1		HAD family hydrolase		10667509	MSWAN_RS00170	789	262	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	37225	37899	-						10667510	MSWAN_RS00175	675		old_locus_tag=MSWAN_0034
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	37225	37899	-	WP_227716972.1	WP_227716972.1		LysE family translocator		10667510	MSWAN_RS00175	675	224	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	38180	38341	-						55592972	MSWAN_RS12915	162		old_locus_tag=MSWAN_0035
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	38180	38341	-	WP_013824585.1	WP_013824585.1		hypothetical protein		55592972	MSWAN_RS12915	162	53	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	38397	39389	-					ala	10667512	MSWAN_RS00180	993		old_locus_tag=MSWAN_0036
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	38397	39389	-	WP_013824586.1	WP_013824586.1		alanine dehydrogenase	ala	10667512	MSWAN_RS00180	993	330	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	39647	40411	+						10667513	MSWAN_RS00185	765		old_locus_tag=MSWAN_0037
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	39647	40411	+	WP_013824587.1	WP_013824587.1		DUF1624 domain-containing protein		10667513	MSWAN_RS00185	765	254	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	40589	41182	+						10667514	MSWAN_RS00190	594		old_locus_tag=MSWAN_0038
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	40589	41182	+	WP_048187771.1	WP_048187771.1		hypothetical protein		10667514	MSWAN_RS00190	594	197	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	41320	42708	+					gatA	10667515	MSWAN_RS00195	1389		old_locus_tag=MSWAN_0039
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	41320	42708	+	WP_013824589.1	WP_013824589.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	gatA	10667515	MSWAN_RS00195	1389	462	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	42974	44578	+						10667516	MSWAN_RS00200	1605		old_locus_tag=MSWAN_0040
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	42974	44578	+	WP_013824590.1	WP_013824590.1		AAA family ATPase		10667516	MSWAN_RS00200	1605	534	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	45081	45761	-					ribB	10667517	MSWAN_RS00205	681		old_locus_tag=MSWAN_0041
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	45081	45761	-	WP_013824591.1	WP_013824591.1		3,4-dihydroxy-2-butanone-4-phosphate synthase	ribB	10667517	MSWAN_RS00205	681	226	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	45921	46307	-						10667518	MSWAN_RS00210	387		old_locus_tag=MSWAN_0042
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	45921	46307	-	WP_013824592.1	WP_013824592.1		DUF120 domain-containing protein		10667518	MSWAN_RS00210	387	128	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	46633	47739	-						10667519	MSWAN_RS00215	1107		old_locus_tag=MSWAN_0043
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	46633	47739	-	WP_013824593.1	WP_013824593.1		iron ABC transporter permease		10667519	MSWAN_RS00215	1107	368	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	47756	48811	-						10667520	MSWAN_RS00220	1056		old_locus_tag=MSWAN_0044
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	47756	48811	-	WP_013824594.1	WP_013824594.1		iron ABC transporter substrate-binding protein		10667520	MSWAN_RS00220	1056	351	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	49287	54422	+						10667521	MSWAN_RS00225	5136		old_locus_tag=MSWAN_0045
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	49287	54422	+	WP_013824595.1	WP_013824595.1		Ig-like domain-containing protein		10667521	MSWAN_RS00225	5136	1711	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	54701	55318	+						10667522	MSWAN_RS00230	618		old_locus_tag=MSWAN_0046
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	54701	55318	+	WP_013824596.1	WP_013824596.1		4Fe-4S dicluster domain-containing protein		10667522	MSWAN_RS00230	618	205	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	55315	56247	+						10667523	MSWAN_RS00235	933		old_locus_tag=MSWAN_0047
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	55315	56247	+	WP_013824597.1	WP_013824597.1		CoB--CoM heterodisulfide reductase iron-sulfur subunit B family protein		10667523	MSWAN_RS00235	933	310	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	56244	58604	+						10667524	MSWAN_RS00240	2361		old_locus_tag=MSWAN_0048
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	56244	58604	+	WP_013824598.1	WP_013824598.1		FAD-dependent oxidoreductase		10667524	MSWAN_RS00240	2361	786	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	59049	61214	+						10667525	MSWAN_RS00245	2166		old_locus_tag=MSWAN_0049
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	59049	61214	+	WP_013824599.1	WP_013824599.1		PKD domain-containing protein		10667525	MSWAN_RS00245	2166	721	
gene	pseudogene	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	61650	62850	+						10667527	MSWAN_RS00255	1201		pseudo;old_locus_tag=MSWAN_0051
CDS	without_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	61650	62850	+				4Fe-4S binding protein		10667527	MSWAN_RS00255	1201		pseudo
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	63336	64037	+						10667528	MSWAN_RS00260	702		old_locus_tag=MSWAN_0052
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	63336	64037	+	WP_013824602.1	WP_013824602.1		ABC transporter substrate-binding protein		10667528	MSWAN_RS00260	702	233	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	64302	68663	+						10667529	MSWAN_RS00265	4362		old_locus_tag=MSWAN_0053
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	64302	68663	+	WP_013824603.1	WP_013824603.1		Ig-like domain-containing protein		10667529	MSWAN_RS00265	4362	1453	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	69051	69950	+						10667530	MSWAN_RS00270	900		old_locus_tag=MSWAN_0054
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	69051	69950	+	WP_048187773.1	WP_048187773.1		DUF11 domain-containing protein		10667530	MSWAN_RS00270	900	299	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	70108	70752	+						10667531	MSWAN_RS00275	645		old_locus_tag=MSWAN_0055
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	70108	70752	+	WP_013824605.1	WP_013824605.1		MotA/TolQ/ExbB proton channel family protein		10667531	MSWAN_RS00275	645	214	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	70746	71081	+						10667532	MSWAN_RS00280	336		old_locus_tag=MSWAN_0056
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	70746	71081	+	WP_013824606.1	WP_013824606.1		DUF2149 domain-containing protein		10667532	MSWAN_RS00280	336	111	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	71399	72997	-					sepS	10667533	MSWAN_RS00285	1599		old_locus_tag=MSWAN_0057
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	71399	72997	-	WP_013824607.1	WP_013824607.1		O-phosphoserine--tRNA ligase	sepS	10667533	MSWAN_RS00285	1599	532	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	73137	74786	+						10667534	MSWAN_RS00290	1650		old_locus_tag=MSWAN_0058
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	73137	74786	+	WP_013824608.1	WP_013824608.1		fumarate reductase subunit A		10667534	MSWAN_RS00290	1650	549	
gene	tRNA	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	74898	74970	-						10667535	MSWAN_RS00295	73		old_locus_tag=MSWAN_R0001
tRNA		GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	74898	74970	-				tRNA-Arg		10667535	MSWAN_RS00295	73		anticodon=GCG
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	75299	75901	-						10667536	MSWAN_RS00300	603		old_locus_tag=MSWAN_0059
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	75299	75901	-	WP_013824609.1	WP_013824609.1		phosphoesterase PA-phosphatase		10667536	MSWAN_RS00300	603	200	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	76151	76591	-						10667537	MSWAN_RS00305	441		old_locus_tag=MSWAN_0060
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	76151	76591	-	WP_013824610.1	WP_013824610.1		hypothetical protein		10667537	MSWAN_RS00305	441	146	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	76658	78022	-						10667538	MSWAN_RS00310	1365		old_locus_tag=MSWAN_0061
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	76658	78022	-	WP_013824611.1	WP_013824611.1		AIR synthase related protein		10667538	MSWAN_RS00310	1365	454	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	78207	78818	-					hisH	10667539	MSWAN_RS00315	612		old_locus_tag=MSWAN_0062
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	78207	78818	-	WP_013824612.1	WP_013824612.1		imidazole glycerol phosphate synthase subunit HisH	hisH	10667539	MSWAN_RS00315	612	203	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	79083	80090	-						10667540	MSWAN_RS00320	1008		old_locus_tag=MSWAN_0063
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	79083	80090	-	WP_048187776.1	WP_048187776.1		NTP transferase domain-containing protein		10667540	MSWAN_RS00320	1008	335	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	80403	81476	-					cfbD	10667541	MSWAN_RS00325	1074		old_locus_tag=MSWAN_0064
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	80403	81476	-	WP_013824614.1	WP_013824614.1		Ni-sirohydrochlorin a,c-diamide reductive cyclase catalytic subunit	cfbD	10667541	MSWAN_RS00325	1074	357	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	81755	82477	+						10667542	MSWAN_RS00330	723		old_locus_tag=MSWAN_0065
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	81755	82477	+	WP_048187777.1	WP_048187777.1		hypothetical protein		10667542	MSWAN_RS00330	723	240	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	82690	83412	+					sfsA	10667543	MSWAN_RS00335	723		old_locus_tag=MSWAN_0066
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	82690	83412	+	WP_013824616.1	WP_013824616.1		DNA/RNA nuclease SfsA	sfsA	10667543	MSWAN_RS00335	723	240	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	83624	86533	-						10667544	MSWAN_RS00340	2910		old_locus_tag=MSWAN_0067
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	83624	86533	-	WP_013824617.1	WP_013824617.1		cation-transporting P-type ATPase		10667544	MSWAN_RS00340	2910	969	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	86729	88123	+						10667545	MSWAN_RS00345	1395		old_locus_tag=MSWAN_0068
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	86729	88123	+	WP_013824618.1	WP_013824618.1		NAD(P)/FAD-dependent oxidoreductase		10667545	MSWAN_RS00345	1395	464	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	88287	88565	+						10667546	MSWAN_RS00350	279		old_locus_tag=MSWAN_0069
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	88287	88565	+	WP_013824619.1	WP_013824619.1		antibiotic biosynthesis monooxygenase		10667546	MSWAN_RS00350	279	92	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	88682	89383	+						10667547	MSWAN_RS00355	702		old_locus_tag=MSWAN_0070
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	88682	89383	+	WP_013824620.1	WP_013824620.1		hypothetical protein		10667547	MSWAN_RS00355	702	233	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	89595	90785	-						10667548	MSWAN_RS00360	1191		old_locus_tag=MSWAN_0071
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	89595	90785	-	WP_013824621.1	WP_013824621.1		redox-regulated ATPase YchF		10667548	MSWAN_RS00360	1191	396	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	91065	91700	+						10667549	MSWAN_RS00365	636		old_locus_tag=MSWAN_0072
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	91065	91700	+	WP_013824622.1	WP_013824622.1		cobalt-precorrin-7 (C(5))-methyltransferase		10667549	MSWAN_RS00365	636	211	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	91881	92072	-						68610990	MSWAN_RS12990	192		
CDS	with_protein	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	91881	92072	-	WP_227717020.1	WP_227717020.1		cupin domain-containing protein		68610990	MSWAN_RS12990	192	63	
gene	protein_coding	GCF_000214725.1	Primary Assembly	chromosome		NC_015574.1	92342	93340	-						10667551	MSWAN_RS00375	999		old_locus_tag=MSWAN_0074
